municipio,uf,bev,phev,hev,mhev,hev_flex,ev_plugin,total
"Corumbá de Goiás","GO",1,1,3,1,3,2,9
"Corumbaíba","GO",1,2,1,2,1,3,7
"Corumbiara","RO",0,2,0,0,0,2,2
"Corupá","SC",5,10,1,0,7,15,23
"Coruripe","AL",14,15,3,4,4,29,40
"Cosmópolis","SP",16,38,15,1,25,54,95
"Cosmorama","SP",3,3,0,0,1,6,7
"Costa Marques","RO",0,0,0,0,3,0,3
"Costa Rica","MS",3,11,4,0,3,14,21
"Cotegipe","BA",2,0,0,0,0,2,2
"Cotia","SP",414,507,137,49,211,921,1318
"Cotiporã","RS",2,0,0,0,0,2,2
"Cotriguaçu","MT",0,1,0,0,0,1,1
"Couto de Magalhães de Minas","MG",0,0,0,0,1,0,1
"Coxilha","RS",1,0,0,0,0,1,1
"Coxim","MS",2,18,3,4,11,20,38
"Coxixola","PB",0,0,0,0,2,0,2
"Craíbas","AL",6,1,0,1,1,7,9
"Crateús","CE",12,10,2,3,3,22,30
"Crato","CE",63,58,10,2,35,121,168
"Cravinhos","SP",49,55,4,10,8,104,126
"Criciúma","SC",515,748,128,85,196,1263,1672
"Crisópolis","BA",4,0,0,0,0,4,4
"Crissiumal","RS",0,1,0,1,0,1,2
"Cristais","MG",0,2,2,0,0,2,4
"Cristais Paulista","SP",2,4,1,0,4,6,11
"Cristal","RS",0,1,2,0,1,1,4
"Cristalina","GO",4,5,0,2,1,9,12
"Cristianópolis","GO",1,5,0,0,0,6,6
"Cristina","MG",0,1,0,0,2,1,3
"Crixás","GO",0,3,1,0,2,3,6
"Croatá","CE",0,0,0,0,1,0,1
"Cromínia","GO",2,1,0,0,0,3,3
"Cruz","CE",8,5,0,3,2,13,18
"Cruz Alta","RS",31,35,17,9,13,66,105
"Cruz das Almas","BA",12,15,3,4,12,27,46
"Cruz do Espírito Santo","PB",1,1,0,0,0,2,2
"Cruz Machado","PR",0,1,0,0,0,1,1
"Cruzaltense","RS",1,0,0,0,2,1,3
"Cruzeiro","SP",22,30,21,5,12,52,90
"Cruzeiro do Iguaçu","PR",3,0,0,0,2,3,5
"Cruzeiro do Oeste","PR",4,9,2,0,3,13,18
"Cruzeiro do Sul","AC",12,14,2,0,49,26,77
"Cruzeiro do Sul","PR",0,3,0,0,0,3,3
"Cruzeiro do Sul","RS",6,6,3,0,6,12,21
"Cruzeta","RN",4,0,0,0,0,4,4
"Cruzília","MG",1,0,1,0,2,1,4
"Cubatão","SP",32,46,7,6,15,78,106
"Cuiabá","MT",1821,2668,605,212,932,4489,6238
"Cuité","PB",1,3,0,0,1,4,5
"Cuitegi","PB",1,0,0,0,0,1,1
"Cujubim","RO",0,0,0,0,2,0,2
"Cumari","GO",0,1,0,0,0,1,1
"Cumaru","PE",0,2,0,0,2,2,4
"Cumaru do Norte","PA",0,0,0,1,0,0,1
"Cunha","SP",5,9,0,0,0,14,14
"Cunha Porã","SC",2,5,0,0,3,7,10
"Cunhataí","SC",0,0,0,0,1,0,1
"Cupira","PE",5,1,0,0,1,6,7
"Curionópolis","PA",2,4,1,0,4,6,11
"Curitiba","PR",9648,8246,2202,854,2047,17894,22997
"Curitibanos","SC",12,25,18,3,10,37,68
"Curiúva","PR",1,0,0,0,3,1,4
"Currais Novos","RN",41,10,1,1,3,51,56
"Curral de Dentro","MG",0,0,0,0,5,0,5
"Curralinho","PA",0,2,0,0,0,2,2
"Curuçá","PA",0,1,0,0,0,1,1
"Cururupu","MA",1,0,1,0,0,1,2
"Curvelândia","MT",1,0,0,0,0,1,1
"Curvelo","MG",10,18,0,5,11,28,44
"Custódia","PE",3,4,0,0,5,7,12
"Damião","PB",1,0,0,0,0,1,1
"Darcinópolis","TO",0,0,0,0,1,0,1
"Dário Meira","BA",1,0,0,0,0,1,1
"Davinópolis","MA",10,0,0,0,0,10,10
"Delfim Moreira","MG",1,0,0,0,0,1,1
"Delfinópolis","MG",0,1,0,0,0,1,1
"Delmiro Gouveia","AL",7,14,1,0,9,21,31
"Delta","MG",0,0,0,2,0,0,2
"Demerval Lobão","PI",2,3,2,0,0,5,7
"Denise","MT",0,2,1,0,0,2,3
"Deodápolis","MS",1,0,1,1,5,1,8
"Descalvado","SP",9,29,3,0,8,38,49
"Descanso","SC",3,1,0,0,2,4,6
"Desterro","PB",1,0,0,0,0,1,1
"Diadema","SP",151,242,67,29,135,393,624
"Diamante do Norte","PR",0,0,0,1,0,0,1
"Diamante do Sul","PR",0,0,0,0,1,0,1
"Diamante D'Oeste","PR",2,0,0,0,2,2,4
"Diamantina","MG",2,3,2,1,5,5,13
"Diamantino","MT",7,14,1,1,5,21,28
"Dianópolis","TO",0,1,0,0,1,1,2
"Dias d'Ávila","BA",39,16,2,1,9,55,67
"Dilermando de Aguiar","RS",1,0,0,0,0,1,1
"Dionísio Cerqueira","SC",3,9,0,1,6,12,19
"Diorama","GO",0,0,0,0,1,0,1
"Dirceu Arcoverde","PI",0,0,0,0,1,0,1
"Divinésia","MG",0,0,1,0,3,0,4
"Divino","MG",3,3,0,1,5,6,12
"Divino de São Lourenço","ES",0,1,0,0,0,1,1
"Divinolândia","SP",0,11,1,0,4,11,16
"Divinolândia de Minas","MG",2,1,0,0,2,3,5
"Divinópolis","MG",141,142,19,12,86,283,400
"Divinópolis do Tocantins","TO",0,0,0,0,1,0,1
"Divisópolis","MG",0,0,0,0,1,0,1
"Dobrada","SP",4,3,1,0,2,7,10
"Dois Córregos","SP",9,12,1,2,7,21,31
"Dois Irmãos","RS",71,49,8,8,15,120,151
"Dois Irmãos do Buriti","MS",1,1,0,0,1,2,3
"Dois Lajeados","RS",4,0,0,0,1,4,5
"Dois Riachos","AL",0,1,0,2,0,1,3
"Dois Vizinhos","PR",26,18,4,2,12,44,62
"Dolcinópolis","SP",1,1,0,0,1,2,3
"Dom Aquino","MT",0,5,0,1,0,5,6
"Dom Basílio","BA",1,1,0,0,2,2,4
"Dom Cavati","MG",0,0,0,0,1,0,1
"Dom Eliseu","PA",1,2,2,2,3,3,10
"Dom Expedito Lopes","PI",0,1,0,0,2,1,3
"Dom Feliciano","RS",0,1,0,0,0,1,1
"Dom Macedo Costa","BA",0,0,0,0,1,0,1
"Dom Pedrito","RS",4,12,4,3,5,16,28
"Dom Pedro","MA",2,0,2,0,3,2,7
"Dom Pedro de Alcântara","RS",1,0,0,0,0,1,1
"Dom Silvério","MG",3,0,0,0,1,3,4
"Domingos Martins","ES",22,36,16,1,10,58,85
"Domingos Mourão","PI",0,0,0,0,1,0,1
"Dona Emma","SC",2,0,0,0,0,2,2
"Dona Euzébia","MG",1,1,0,0,0,2,2
"Dona Francisca","RS",0,0,0,0,1,0,1
"Dores de Campos","MG",1,2,0,0,0,3,3
"Dores do Indaiá","MG",1,1,0,0,2,2,4
"Dores do Rio Preto","ES",3,9,1,0,5,12,18
"Dormentes","PE",1,2,1,0,1,3,5
"Douradina","MS",0,1,1,0,3,1,5
"Douradina","PR",0,3,1,0,3,3,7
"Dourado","SP",2,4,0,1,1,6,8
"Dourados","MS",431,463,93,32,159,894,1178
"Doutor Camargo","PR",0,1,0,0,1,1,2
"Doutor Pedrinho","SC",0,1,0,0,0,1,1
"Doutor Severiano","RN",0,0,0,0,1,0,1
"Doutor Ulysses","PR",1,0,0,0,0,1,1
"Dracena","SP",16,20,4,4,30,36,74
"Duartina","SP",2,4,0,0,6,6,12
"Duas Barras","RJ",2,3,0,0,0,5,5
"Dumont","SP",7,8,1,3,3,15,22
"Duque Bacelar","MA",0,0,0,0,1,0,1
"Duque de Caxias","RJ",352,210,50,42,171,562,825
"Echaporã","SP",1,0,0,0,1,1,2
"Ecoporanga","ES",3,5,0,0,5,8,13
"Edealina","GO",2,0,0,0,1,2,3
"Edéia","GO",1,8,1,0,4,9,14
"Eldorado","MS",0,1,0,1,1,1,3
"Eldorado","SP",0,0,0,0,1,0,1
"Eldorado do Carajás","PA",0,4,0,0,1,4,5
"Eldorado do Sul","RS",89,58,7,10,14,147,178
"Elias Fausto","SP",4,9,4,1,11,13,29
"Elísio Medrado","BA",0,0,0,0,2,0,2
"Elói Mendes","MG",2,6,0,0,4,8,12
"Embu das Artes","SP",97,125,15,17,55,222,309
"Embu-Guaçu","SP",40,32,8,4,19,72,103
"Emilianópolis","SP",1,2,0,0,3,3,6
"Encantado","RS",20,13,7,4,7,33,51
"Encanto","RN",1,2,0,0,0,3,3
"Encruzilhada","BA",2,4,0,0,0,6,6
"Encruzilhada do Sul","RS",3,2,0,0,2,5,7
"Enéas Marques","PR",1,2,0,0,1,3,4
"Engenheiro Beltrão","PR",1,5,1,0,2,6,9
"Engenheiro Caldas","MG",0,2,0,0,2,2,4
"Engenheiro Coelho","SP",11,14,2,3,9,25,39
"Engenheiro Paulo de Frontin","RJ",1,1,2,1,3,2,8
"Entre Folhas","MG",1,1,0,0,1,2,3
"Entre Rios","BA",5,4,1,2,2,9,14
"Entre Rios de Minas","MG",1,2,1,1,0,3,5
"Entre Rios do Oeste","PR",1,1,0,0,2,2,4
"Entre-Ijuís","RS",1,3,0,1,2,4,7
"Epitaciolândia","AC",4,5,1,0,3,9,13
"Equador","RN",2,0,0,0,2,2,4
"Erebango","RS",3,1,0,0,0,4,4
"Erechim","RS",193,97,21,18,45,290,374
"Ermo","SC",1,0,0,2,0,1,3
"Ernestina","RS",0,0,0,2,1,0,3
"Erval Grande","RS",2,1,0,0,1,3,4
"Erval Seco","RS",2,1,1,0,1,3,5
"Erval Velho","SC",0,1,1,0,0,1,2
"Ervália","MG",0,1,0,1,5,1,7
"Escada","PE",11,10,1,3,4,21,29
"Esmeralda","RS",0,0,0,0,1,0,1
"Esmeraldas","MG",4,6,0,1,3,10,14
"Espera Feliz","MG",0,1,0,1,0,1,2
"Esperança","PB",14,1,0,1,6,15,22
"Esperantina","PI",11,4,1,0,0,15,16
"Espigão Alto do Iguaçu","PR",0,1,0,0,0,1,1
"Espigão D'Oeste","RO",5,8,2,0,6,13,21
"Espinosa","MG",0,1,0,0,1,1,2
"Espírito Santo","RN",3,1,0,0,2,4,6
"Espírito Santo do Pinhal","SP",18,32,9,7,15,50,81
"Espírito Santo do Turvo","SP",1,0,1,0,2,1,4
"Esplanada","BA",2,4,0,1,2,6,9
"Espumoso","RS",4,4,3,0,1,8,12
"Estação","RS",4,3,2,0,1,7,10
"Estância","SE",13,29,1,1,3,42,47
"Estância Velha","RS",112,75,13,6,28,187,234
"Esteio","RS",137,49,13,13,40,186,252
"Estiva","MG",1,1,1,0,2,2,5
"Estiva Gerbi","SP",3,11,0,3,8,14,25
"Estreito","MA",2,3,0,0,2,5,7
"Estrela","RS",34,18,6,9,29,52,96
"Estrela de Alagoas","AL",4,2,0,0,0,6,6
"Estrela do Norte","SP",0,0,0,0,1,0,1
"Estrela d'Oeste","SP",0,1,3,2,4,1,10
"Estrela Velha","RS",2,0,0,1,2,2,5
"Euclides da Cunha","BA",9,15,8,3,5,24,40
"Euclides da Cunha Paulista","SP",0,3,0,0,0,3,3
"Eugenópolis","MG",0,0,0,0,8,0,8
"Eunápolis","BA",16,20,9,4,36,36,85
"Eusébio","CE",654,559,43,31,80,1213,1367
"Ewbank da Câmara","MG",0,0,0,0,2,0,2
"Extrema","MG",18,5,4,2,2,23,31
"Extremoz","RN",39,12,2,2,9,51,64
"Exu","PE",5,0,0,0,0,5,5
"Fagundes","PB",1,1,0,0,0,2,2
"Fagundes Varela","RS",2,1,1,0,1,3,5
"Faina","GO",0,1,0,0,0,1,1
"Fama","MG",0,0,0,1,0,0,1
"Faro","PA",0,1,0,0,0,1,1
"Farol","PR",0,0,1,0,0,0,1
"Farroupilha","RS",123,87,15,8,37,210,270
"Fartura","SP",3,3,2,0,5,6,13
"Fátima","BA",1,0,0,0,2,1,3
"Fátima do Sul","MS",7,14,10,0,4,21,35
"Faxinal","PR",1,2,0,0,2,3,5
"Faxinal do Soturno","RS",2,10,1,2,2,12,17
"Faxinal dos Guedes","SC",0,8,3,0,3,8,14
"Faxinalzinho","RS",1,0,0,0,0,1,1
"Fazenda Nova","GO",0,0,0,0,3,0,3
"Fazenda Rio Grande","PR",126,66,15,6,5,192,218
"Fazenda Vilanova","RS",2,0,0,0,1,2,3
"Feijó","AC",0,2,0,0,0,2,2
"Feira de Santana","BA",1061,762,112,56,313,1823,2304
"Feira Grande","AL",4,4,0,0,0,8,8
"Feira Nova","PE",0,3,0,0,4,3,7
"Feira Nova","SE",0,0,0,0,1,0,1
"Feliz","RS",17,9,5,4,5,26,40
"Feliz Deserto","AL",1,0,0,0,0,1,1
"Fernandes Pinheiro","PR",0,3,1,0,0,3,4
"Fernando de Noronha","PE",76,4,0,0,2,80,82
"Fernando Pedroza","RN",0,0,1,0,0,0,1
"Fernando Prestes","SP",3,5,2,0,1,8,11
"Fernandópolis","SP",55,62,22,6,22,117,167
"Ferraz de Vasconcelos","SP",46,52,9,7,26,98,140
"Ferreira Gomes","AP",0,0,0,0,1,0,1
"Ferreiros","PE",1,0,0,0,1,1,2
"Ferros","MG",0,0,0,0,1,0,1
"Figueira","PR",1,0,0,0,1,1,2
"Figueirão","MS",1,2,0,2,0,3,5
"Figueirópolis","TO",0,0,1,0,3,0,4
"Firminópolis","GO",0,4,1,0,3,4,8
"Flexeiras","AL",1,0,0,0,0,1,1
"Flor da Serra do Sul","PR",0,0,0,0,1,0,1
"Floraí","PR",4,2,0,0,2,6,8
"Florânia","RN",1,0,0,0,1,1,2
"Floreal","SP",1,2,0,0,0,3,3
"Flores","PE",0,1,0,0,4,1,5
"Flores da Cunha","RS",64,41,7,3,15,105,130
"Floresta","PR",2,1,0,0,7,3,10
"Floresta","PE",0,1,0,0,1,1,2
"Floresta Azul","BA",0,0,0,0,1,0,1
"Florestal","MG",0,4,1,0,1,4,6
"Florestópolis","PR",0,3,0,0,2,3,5
"Floriano","PI",8,23,5,4,13,31,53
"Florianópolis","SC",2832,3721,871,411,774,6553,8609
"Flórida","PR",1,0,0,0,1,1,2
"Flórida Paulista","SP",0,1,0,0,1,1,2
"Florínea","SP",1,1,0,0,0,2,2
"Fontoura Xavier","RS",1,0,1,2,3,1,7
"Formiga","MG",5,11,1,6,10,16,33
"Formigueiro","RS",1,1,0,0,1,2,3
"Formosa","GO",1,0,0,3,1,1,5
"Formosa da Serra Negra","MA",0,0,0,0,1,0,1
"Formosa do Oeste","PR",1,2,1,0,0,3,4
"Formosa do Rio Preto","BA",1,1,0,0,2,2,4
"Formosa do Sul","SC",1,0,0,0,0,1,1
"Formoso","GO",0,1,0,0,1,1,2
"Formoso do Araguaia","TO",0,1,0,0,1,1,2
"Forquetinha","RS",0,0,0,1,0,0,1
"Forquilha","CE",4,2,1,0,3,6,10
"Forquilhinha","SC",14,15,1,0,4,29,34
"Fortaleza","CE",4557,4417,810,433,1497,8974,11714
"Fortaleza de Minas","MG",0,0,0,0,1,0,1
"Fortaleza dos Nogueiras","MA",0,3,0,0,2,3,5
"Fortaleza dos Valos","RS",0,3,1,0,1,3,5
"Fortim","CE",0,6,0,0,0,6,6
"Fortuna","MA",0,1,0,0,1,1,2
"Foz do Iguaçu","PR",400,254,70,56,126,654,906
"Foz do Jordão","PR",0,1,0,0,1,1,2
"Fraiburgo","SC",7,26,10,1,2,33,46
"Franca","SP",256,491,86,96,241,747,1170
"Francinópolis","PI",0,0,0,0,1,0,1
"Francisco Alves","PR",0,0,1,0,1,0,2
"Francisco Beltrão","PR",76,72,30,5,46,148,229
"Francisco Dantas","RN",0,0,0,0,1,0,1
"Francisco Morato","SP",53,16,2,3,11,69,85
"Francisco Sá","MG",0,2,0,1,1,2,4
"Francisco Santos","PI",0,1,0,0,2,1,3
"Franco da Rocha","SP",50,23,6,5,38,73,122
"Frecheirinha","CE",2,0,0,0,3,2,5
"Frederico Westphalen","RS",24,19,5,5,8,43,61
"Frei Inocêncio","MG",1,0,0,0,1,1,2
"Frei Miguelinho","PE",5,0,0,0,0,5,5
"Frei Paulo","SE",0,0,0,0,2,0,2
"Fronteiras","PI",0,1,0,0,2,1,3
"Frutal","MG",4,8,2,4,5,12,23
"Frutuoso Gomes","RN",0,1,0,0,0,1,1
"Fundão","ES",18,12,6,0,4,30,40
"Funilândia","MG",2,1,0,0,0,3,3
"Gabriel Monteiro","SP",2,0,0,0,3,2,5
"Gália","SP",1,1,0,0,6,2,8
"Gameleira","PE",1,1,0,0,0,2,2
"Gameleira de Goiás","GO",0,1,0,0,1,1,2
"Gandu","BA",5,12,1,3,8,17,29
"Garanhuns","PE",119,54,9,7,40,173,229
"Garça","SP",26,66,17,9,35,92,153
"Garibaldi","RS",25,32,17,1,33,57,108
"Garopaba","SC",26,116,23,9,33,142,207
"Garrafão do Norte","PA",0,0,0,0,1,0,1
"Garruchos","RS",1,0,0,0,0,1,1
"Garuva","SC",18,25,4,2,13,43,62
"Gaspar","SC",80,95,23,18,20,175,236
"Gastão Vidigal","SP",0,1,0,0,0,1,1
"Gaúcha do Norte","MT",0,6,1,0,0,6,7
"Gaurama","RS",4,5,0,1,2,9,12
"Gavião Peixoto","SP",0,1,0,0,0,1,1
"Geminiano","PI",1,1,0,0,1,2,3
"General Câmara","RS",3,0,0,0,0,3,3
"General Carneiro","MT",0,0,0,0,2,0,2
"General Carneiro","PR",0,1,0,0,1,1,2
"General Salgado","SP",1,1,0,2,2,2,6
"General Sampaio","CE",0,1,0,0,2,1,3
"Gentil","RS",1,0,0,0,2,1,3
"Gentio do Ouro","BA",0,0,0,0,1,0,1
"Getulina","SP",3,5,0,0,5,8,13
"Getúlio Vargas","RS",16,8,4,2,4,24,34
"Gilbués","PI",0,0,0,0,1,0,1
"Girau do Ponciano","AL",11,8,0,0,2,19,21
"Giruá","RS",3,4,1,0,1,7,9
"Glicério","SP",0,0,0,1,1,0,2
"Glória","BA",0,0,0,0,1,0,1
"Glória de Dourados","MS",0,4,2,0,1,4,7
"Glória do Goitá","PE",1,9,0,0,1,10,11
"Glória D'Oeste","MT",0,0,0,0,1,0,1
"Glorinha","RS",2,1,0,0,1,3,4
"Godofredo Viana","MA",0,0,1,0,0,0,1
"Goiabeira","MG",0,0,0,0,1,0,1
"Goiana","PE",18,10,1,2,2,28,33
"Goianápolis","GO",6,5,0,0,3,11,14
"Goiandira","GO",0,1,1,0,0,1,2
"Goianésia","GO",14,23,10,8,24,37,79
"Goianésia do Pará","PA",0,0,0,1,1,0,2
"Goiânia","GO",3733,5517,1155,626,1760,9250,12791
"Goianinha","RN",7,2,2,3,2,9,16
"Goianira","GO",40,24,3,1,8,64,76
"Goiás","GO",2,3,4,1,6,5,16
"Goiatins","TO",0,0,0,0,1,0,1
"Goiatuba","GO",5,40,6,7,1,45,59
"Goioerê","PR",8,20,4,2,0,28,34
"Gonçalves","MG",0,2,0,0,0,2,2
"Gonçalves Dias","MA",1,1,0,1,0,2,3
"Gouveia","MG",1,0,0,1,1,1,3
"Gouvelândia","GO",0,1,0,0,0,1,1
"Governador Archer","MA",4,0,0,0,0,4,4
"Governador Celso Ramos","SC",39,48,15,6,10,87,118
"Governador Dix-Sept Rosado","RN",2,0,0,0,0,2,2
"Governador Edison Lobão","MA",3,2,0,0,0,5,5
"Governador Eugênio Barros","MA",0,0,0,0,1,0,1
"Governador Jorge Teixeira","RO",0,0,0,0,1,0,1
"Governador Lindenberg","ES",2,3,1,1,7,5,14
"Governador Mangabeira","BA",0,0,0,0,8,0,8
"Governador Nunes Freire","MA",1,0,0,0,1,1,2
"Governador Valadares","MG",285,235,15,14,83,520,632
"Graça","CE",0,0,0,0,1,0,1
"Gracho Cardoso","SE",0,0,0,0,1,0,1
"Grajaú","MA",3,4,1,1,8,7,17
"Gramado","RS",136,80,9,23,32,216,280
"Gramado dos Loureiros","RS",3,0,0,1,0,3,4
"Grandes Rios","PR",0,1,0,0,0,1,1
"Granito","PE",1,0,0,0,0,1,1
"Granja","CE",2,3,0,0,0,5,5
"Granjeiro","CE",0,1,0,0,0,1,1
"Grão Mogol","MG",0,1,0,0,1,1,2
"Grão-Pará","SC",0,4,0,1,3,4,8
"Gravatá","PE",60,33,2,4,12,93,111
"Gravataí","RS",732,234,50,14,59,966,1089
"Gravatal","SC",4,9,2,3,8,13,26
"Groaíras","CE",1,0,0,0,1,1,2
"Grossos","RN",0,0,0,0,1,0,1
"Guabiruba","SC",32,35,11,8,13,67,99
"Guaçuí","ES",8,24,3,6,3,32,44
"Guadalupe","PI",2,3,0,0,2,5,7
"Guaíba","RS",133,42,16,6,24,175,221
"Guaiçara","SP",5,2,0,0,1,7,8
"Guaimbê","SP",0,1,0,0,2,1,3
"Guaíra","PR",2,18,3,3,5,20,31
"Guaíra","SP",10,36,7,7,8,46,68
"Guaiúba","CE",1,2,0,0,2,3,5
"Guajará-Mirim","RO",8,8,3,0,8,16,27
"Guajeru","BA",1,0,0,0,0,1,1
"Guamaré","RN",2,0,0,0,0,2,2
"Guamiranga","PR",1,2,0,0,0,3,3
"Guanambi","BA",25,29,3,1,46,54,104
"Guanhães","MG",5,3,0,0,1,8,9
"Guapé","MG",0,0,0,1,0,0,1
"Guapiaçu","SP",10,17,2,2,1,27,32
"Guapiara","SP",0,5,4,1,0,5,10
"Guapimirim","RJ",31,20,11,1,16,51,79
"Guapirama","PR",1,2,0,0,1,3,4
"Guapó","GO",12,6,0,0,6,18,24
"Guaporé","RS",25,24,4,4,10,49,67
"Guará","SP",3,5,2,0,6,8,16
"Guarabira","PB",29,12,4,1,3,41,49
"Guaraçaí","SP",0,8,0,0,1,8,9
"Guaraci","PR",1,2,1,0,0,3,4
"Guaraci","SP",3,3,4,1,1,6,12
"Guaraciaba","MG",1,1,0,0,2,2,4
"Guaraciaba","SC",1,0,2,0,1,1,4
"Guaraciaba do Norte","CE",5,3,0,1,3,8,12
"Guaraciama","MG",0,1,0,0,0,1,1
"Guaraí","TO",1,3,4,0,6,4,14
"Guaramiranga","CE",8,2,0,0,0,10,10
"Guaramirim","SC",62,55,8,7,16,117,148
"Guaranésia","MG",3,0,0,0,1,3,4
"Guarani","MG",0,2,0,0,0,2,2
"Guaraniaçu","PR",1,3,0,0,2,4,6
"Guarantã","SP",1,3,1,1,2,4,8
"Guarantã do Norte","MT",2,8,2,1,3,10,16
"Guarapari","ES",250,366,81,48,108,616,853
"Guarapuava","PR",220,178,58,9,35,398,500
"Guarará","MG",0,0,1,0,0,0,1
"Guararapes","SP",8,18,12,5,13,26,56
"Guararema","SP",60,44,7,1,19,104,131
"Guaratinga","BA",0,0,0,0,5,0,5
"Guaratinguetá","SP",52,73,37,13,29,125,204
"Guaratuba","PR",15,39,6,4,9,54,73
"Guarda-Mor","MG",0,1,0,0,0,1,1
"Guareí","SP",2,1,0,1,1,3,5
"Guariba","SP",10,18,3,2,10,28,43
"Guarujá","SP",103,174,77,41,85,277,480
"Guarujá do Sul","SC",0,2,0,0,1,2,3
"Guarulhos","SP",820,1208,417,226,736,2028,3407
"Guatambú","SC",5,5,0,1,0,10,11
"Guatapará","SP",3,1,0,0,0,4,4
"Guaxupé","MG",8,10,1,4,6,18,29
"Guia Lopes da Laguna","MS",0,1,0,0,4,1,5
"Guidoval","MG",0,2,0,0,0,2,2
"Guimarães","MA",0,0,0,1,0,0,1
"Guimarânia","MG",0,3,0,0,0,3,3
"Guiratinga","MT",1,2,0,0,3,3,6
"Guiricema","MG",1,1,1,0,3,2,6
"Gurupi","TO",11,14,6,2,44,25,77
"Guzolândia","SP",0,0,1,0,1,0,2
"Harmonia","RS",2,1,2,0,3,3,8
"Heliópolis","BA",0,0,1,0,0,0,1
"Herculândia","SP",1,3,1,0,2,4,7
"Herval","RS",1,0,0,0,0,1,1
"Herval d'Oeste","SC",8,9,3,1,4,17,25
"Hidrolândia","CE",1,0,0,0,0,1,1
"Hidrolândia","GO",26,28,5,5,8,54,72
"Hidrolina","GO",1,2,1,0,0,3,4
"Holambra","SP",27,36,8,5,27,63,103
"Honório Serpa","PR",0,1,0,0,0,1,1
"Horizonte","CE",33,12,2,1,1,45,49
"Horizontina","RS",6,5,3,1,4,11,19
"Hortolândia","SP",98,146,37,8,71,244,360
"Hugo Napoleão","PI",1,0,0,0,1,1,2
"Hulha Negra","RS",0,0,1,0,1,0,2
"Humaitá","AM",1,0,0,0,1,1,2
"Humaitá","RS",4,1,0,0,1,5,6
"Iacanga","SP",1,4,3,1,3,5,12
"Iacri","SP",0,8,1,0,0,8,9
"Iaçu","BA",0,2,0,0,3,2,5
"Iapu","MG",1,0,0,0,3,1,4
"Iati","PE",1,0,1,0,1,1,3
"Ibaiti","PR",3,7,5,1,4,10,20
"Ibarama","RS",1,0,0,0,0,1,1
"Ibaté","SP",6,10,2,2,5,16,25
"Ibateguara","AL",0,2,0,0,0,2,2
"Ibatiba","ES",11,11,2,2,3,22,29
"Ibema","PR",0,2,0,0,0,2,2
"Ibiá","MG",0,6,1,0,4,6,11
"Ibiaçá","RS",0,2,0,0,1,2,3
"Ibiapina","CE",5,4,0,1,2,9,12
"Ibiara","PB",0,1,0,0,0,1,1
"Ibiassucê","BA",2,0,0,0,0,2,2
"Ibicaraí","BA",2,1,1,0,2,3,6
"Ibicaré","SC",4,1,0,0,1,5,6
"Ibicoara","BA",0,1,1,0,1,1,3
"Ibicuí","BA",0,0,0,0,2,0,2
"Ibicuitinga","CE",0,0,0,0,2,0,2
"Ibimirim","PE",1,1,0,0,3,2,5
"Ibipeba","BA",1,0,0,0,1,1,2
"Ibiporã","PR",37,45,15,3,13,82,113
"Ibirá","SP",2,8,0,0,2,10,12
"Ibiraci","MG",0,1,0,0,5,1,6
"Ibiraçu","ES",7,7,4,0,2,14,20
"Ibiraiaras","RS",7,3,1,0,1,10,12
"Ibirama","SC",19,14,1,3,4,33,41
"Ibirapitanga","BA",0,2,0,0,1,2,3
"Ibirapuã","BA",1,0,1,0,2,1,4
"Ibirapuitã","RS",1,0,0,0,0,1,1
"Ibirarema","SP",0,0,0,0,3,0,3
"Ibirataia","BA",0,1,2,2,1,1,6
"Ibirité","MG",16,13,4,2,7,29,42
"Ibirubá","RS",11,26,1,2,3,37,43
"Ibitinga","SP",46,70,11,9,29,116,165
"Ibitirama","ES",3,4,2,0,4,7,13
"Ibititá","BA",2,1,0,0,0,3,3
"Ibiúna","SP",26,40,14,7,27,66,114
"Ibotirama","BA",2,2,0,0,1,4,5
"Icapuí","CE",1,2,0,0,3,3,6
"Içara","SC",37,129,21,8,27,166,222
"Icaraíma","PR",6,2,0,0,2,8,10
"Icatu","MA",2,0,0,0,0,2,2
"Icém","SP",2,1,0,0,1,3,4
"Ichu","BA",1,0,0,0,0,1,1
"Icó","CE",0,1,2,2,0,1,5
"Iconha","ES",2,11,3,2,5,13,23
"Ielmo Marinho","RN",2,0,0,0,0,2,2
"Iepê","SP",2,2,2,0,4,4,10
"Igaci","AL",4,1,1,1,2,5,9
"Igaporã","BA",0,1,0,0,0,1,1
"Igaraçu do Tietê","SP",2,2,1,0,2,4,7
"Igarapava","SP",1,6,5,4,4,7,20
"Igarapé","MG",8,7,2,3,8,15,28
"Igarapé do Meio","MA",1,0,0,0,1,1,2
"Igarapé Grande","MA",0,0,2,0,0,0,2
"Igarapé-Açu","PA",1,3,3,0,4,4,11
"Igarapé-Miri","PA",3,4,0,0,2,7,9
"Igarassu","PE",77,28,2,2,10,105,119
"Igaratá","SP",5,10,4,1,3,15,23
"Igaratinga","MG",0,0,0,0,1,0,1
"Igreja Nova","AL",1,1,0,0,2,2,4
"Igrejinha","RS",32,24,6,4,8,56,74
"Iguaba Grande","RJ",32,18,3,3,13,50,69
"Iguaí","BA",1,0,0,0,0,1,1
"Iguape","SP",8,4,1,1,6,12,20
"Iguaraçu","PR",12,9,2,2,2,21,27
"Iguatama","MG",0,0,0,0,1,0,1
"Iguatemi","MS",0,0,0,1,1,0,2
